Local time,Date,Open,High,Low,Close,Volume
22.03.2019 01:30:00.000 GMT+0430,22.03.2019,67.655,67.951,66.175,66.956,5.0684
23.03.2019 01:30:00.000 GMT+0430,23.03.2019,66.956,66.956,66.956,66.956,0
24.03.2019 01:30:00.000 GMT+0430,24.03.2019,66.956,66.956,66.956,66.956,0
25.03.2019 01:30:00.000 GMT+0430,25.03.2019,66.458,67.626,66.335,67.215,4.9582
26.03.2019 01:30:00.000 GMT+0430,26.03.2019,67.215,68.196,67.185,67.985,5.0314
27.03.2019 01:30:00.000 GMT+0430,27.03.2019,67.975,68.326,67.169,67.79,3.53
28.03.2019 01:30:00.000 GMT+0430,28.03.2019,67.795,67.875,66.511,67.805,2.052
29.03.2019 01:30:00.000 GMT+0430,29.03.2019,67.35,68.276,67.125,67.575,5.1691
30.03.2019 01:30:00.000 GMT+0430,30.03.2019,67.575,67.575,67.575,67.575,0
31.03.2019 01:30:00.000 GMT+0430,31.03.2019,67.575,67.575,67.575,67.575,0
01.04.2019 01:30:00.000 GMT+0430,01.04.2019,67.905,69.176,67.854,69.155,4.0488
02.04.2019 01:30:00.000 GMT+0430,02.04.2019,69.156,69.501,68.665,69.405,5.0097
03.04.2019 01:30:00.000 GMT+0430,03.04.2019,69.446,69.936,68.775,69.425,5.0684
